date,year,iso_week,week_of_year,ccfi,source_image,source_row,ocr_text,status,review_note
2023-10-27,2023,2023-W43,43,811.50,微信图片_20260524162045_1107_1.jpg,12,"20231027 811.50",reviewed,
2023-11-03,2023,2023-W44,44,827.84,微信图片_20260524162045_1107_1.jpg,11,"20231103 827.84",reviewed,
2023-11-10,2023,2023-W45,45,843.77,微信图片_20260524162045_1107_1.jpg,10,"20231110 843.77",reviewed,
2023-11-17,2023,2023-W46,46,872.11,微信图片_20260524162045_1107_1.jpg,9,"20231117 872.11",reviewed,
2023-11-24,2023,2023-W47,47,876.74,微信图片_20260524162045_1107_1.jpg,8,"20231124 876.74",reviewed,
2023-12-01,2023,2023-W48,48,857.72,微信图片_20260524162045_1107_1.jpg,7,"20231201 857.72",reviewed,
2023-12-08,2023,2023-W49,49,858.40,微信图片_20260524162045_1107_1.jpg,6,"20231208 858.40",reviewed,
2023-12-15,2023,2023-W50,50,869.34,微信图片_20260524162045_1107_1.jpg,5,"20231215 869.34",reviewed,
2023-12-22,2023,2023-W51,51,879.75,微信图片_20260524162045_1107_1.jpg,4,"20231222 879.75",reviewed,
2023-12-29,2023,2023-W52,52,909.19,微信图片_20260524162045_1107_1.jpg,3,"20231229 909.19",reviewed,
2024-01-05,2024,2024-W01,1,936.83,微信图片_20260524162045_1107_1.jpg,2,"20240105 936.83",reviewed,
2024-01-12,2024,2024-W02,2,1140.31,微信图片_20260524162045_1107_1.jpg,1,"20240112 1,140.31",reviewed,
2024-01-19,2024,2024-W03,3,1287.49,微信图片_20260524162046_1108_1.jpg,13,"20240119 1,287.49",reviewed,
2024-01-26,2024,2024-W04,4,1403.00,微信图片_20260524162046_1108_1.jpg,12,"20240126 1,403.00",reviewed,
2024-02-02,2024,2024-W05,5,1464.81,微信图片_20260524162046_1108_1.jpg,11,"20240202 1,464.81",reviewed,
2024-02-09,2024,2024-W06,6,1455.19,微信图片_20260524162046_1108_1.jpg,10,"20240209 1,455.19",reviewed,
2024-02-23,2024,2024-W08,8,1402.22,微信图片_20260524162046_1108_1.jpg,9,"20240223 1,402.22",reviewed,
2024-03-01,2024,2024-W09,9,1352.40,微信图片_20260524162046_1108_1.jpg,8,"20240301 1,352.40",reviewed,
2024-03-08,2024,2024-W10,10,1312.13,微信图片_20260524162046_1108_1.jpg,7,"20240308 1,312.13",reviewed,
2024-03-15,2024,2024-W11,11,1278.28,微信图片_20260524162046_1108_1.jpg,6,"20240315 1,278.28",reviewed,
2024-03-22,2024,2024-W12,12,1244.83,微信图片_20260524162046_1108_1.jpg,5,"20240322 1,244.83",reviewed,
2024-03-29,2024,2024-W13,13,1208.42,微信图片_20260524162046_1108_1.jpg,4,"20240329 1,208.42",reviewed,
2024-04-03,2024,2024-W14,14,1191.37,微信图片_20260524162046_1108_1.jpg,3,"20240403 1,191.37",reviewed,
2024-04-12,2024,2024-W15,15,1185.13,微信图片_20260524162046_1108_1.jpg,2,"20240412 1,185.13",reviewed,
2024-04-19,2024,2024-W16,16,1186.53,微信图片_20260524162046_1108_1.jpg,1,"20240419 1,186.53",reviewed,
2024-04-26,2024,2024-W17,17,1193.64,微信图片_20260524162048_1109_1.jpg,13,"20240426 1,193.64",reviewed,
2024-05-10,2024,2024-W19,19,1237.84,微信图片_20260524162048_1109_1.jpg,12,"20240510 1,237.84",reviewed,
